base_depth,open_lifts,open_trails,resort_name,snowfall_24h,total_lifts,total_trails
,,,Brantling Ski Slopes,0.0,,10.0
24.0,3.0,15.0,Royal Mountain Ski Area,0.0,3.0,16.0
15.0,,,Oak Mountain,0.0,,
15.0,,,Snow Ridge,0.0,,
,,,Toggenburg Mountain,0.0,,22.0
55.0,6.0,7.0,Appalachian Ski Mountain,0.0,6.0,9.0
47.0,8.0,11.0,Beech Mountain Resort,0.0,10.0,17.0
43.0,5.0,13.0,Cataloochee Ski Area,0.0,5.0,18.0
41.0,2.0,6.0,Hatley Pointe,0.0,4.0,15.0
32.0,2.0,2.0,Sapphire Valley,0.0,3.0,2.0
57.5,5.0,11.0,Sugar Mountain Resort,0.0,7.0,20.0
18.0,7.0,23.0,Angel Fire Resort,1.0,7.0,86.0
24.0,6.0,22.0,Red River,1.0,7.0,64.0
4.5,1.0,3.0,Sandia Peak,0.0,4.0,35.0
11.5,4.0,11.0,Sipapu Ski Resort,1.0,6.0,44.0
4.0,2.0,10.0,Ski Apache,0.0,11.0,55.0
22.0,7.0,75.0,Ski Santa Fe,1.0,7.0,87.0
21.0,12.0,23.0,Taos Ski Valley,3.0,13.0,110.0
,,,Pajarito Mountain Ski Area,,,
12.0,3.0,8.0,Alpine Valley,0.0,5.0,8.0
10.0,5.0,4.0,Boston Mills,0.0,8.0,6.0
10.0,6.0,6.0,Brandywine,0.0,8.0,9.0
9.0,6.0,12.0,Mad River Mountain,0.0,12.0,21.0
28.0,10.0,21.0,Snow Trails,0.0,10.0,21.0
48.0,9.0,30.0,Mountain Creek Resort,0.0,9.0,46.0
,,,Campgaw Mountain,,,
28.0,7.0,30.0,Attitash,0.0,8.0,68.0
33.0,4.0,12.0,Black Mountain,0.0,5.0,68.0
21.0,6.0,42.0,Bretton Woods,0.0,10.0,98.0
66.0,8.0,37.0,Cannon Mountain,0.0,10.0,98.0
19.5,7.0,27.0,Cranmore Mountain Resort,0.0,8.0,60.0
24.0,4.0,13.0,Crotched Mountain,0.0,5.0,25.0
9.0,4.0,7.0,Dartmouth Skiway,0.0,4.0,28.0
28.5,8.0,34.0,Gunstock,0.0,8.0,49.0
16.0,4.0,10.0,King Pine,0.0,5.0,17.0
15.0,11.0,37.0,Loon Mountain,0.0,13.0,73.0
12.0,8.0,32.0,Mount Sunapee,0.0,8.0,67.0
17.0,9.0,26.0,Pats Peak,0.0,11.0,28.0
26.0,5.0,19.0,Ragged Mountain Resort,0.0,5.0,57.0
12.0,2.0,8.0,Tenney Mountain,0.0,3.0,48.0
21.0,7.0,46.0,Waterville Valley,0.0,11.0,62.0
,3.0,5.0,Whaleback Mountain,0.0,4.0,30.0
12.0,3.0,14.0,Wildcat Mountain,0.0,5.0,48.0
37.0,1.0,21.0,Anthony Lakes Mountain Resort,6.0,3.0,21.0
55.0,5.0,36.0,Hoodoo Ski Area,10.0,5.0,36.0
66.5,6.0,39.0,Mt. Ashland,0.0,6.0,44.0
96.0,10.0,57.0,Mt. Bachelor,6.0,15.0,122.0
98.0,9.0,40.0,Mt. Hood Meadows,3.0,12.0,87.0
97.0,5.0,,Timberline Lodge,5.0,9.0,43.0
44.0,5.0,30.0,Willamette Pass,0.0,6.0,30.0
32.0,,,Mt. Hood Skibowl,6.0,,
,,,Spout Springs,0.0,,14.0
30.0,7.0,31.0,Diamond Peak,0.0,7.0,40.0
8.0,3.0,3.0,Lee Canyon,0.0,5.0,28.0
40.0,7.0,47.0,Mt. Rose - Ski Tahoe,1.0,8.0,67.0
15.0,11.0,18.0,Afton Alps,0.0,21.0,37.0
18.0,4.0,12.0,Andes Tower Hills Ski Area,0.0,6.0,16.0
20.0,9.0,16.0,Buck Hill,0.0,10.0,16.0
42.0,5.0,33.0,Giants Ridge Resort,0.0,7.0,35.0
24.0,7.0,14.0,Hyland Ski & Snowboard Area,0.0,7.0,14.0
30.0,4.0,37.0,Lutsen Mountains,0.0,7.0,62.0
27.0,4.0,9.0,Mount Kato Ski Area,0.0,10.0,19.0
20.0,6.0,15.0,Powder Ridge Ski Area,0.0,7.0,20.0
15.0,5.0,22.0,Spirit Mountain,0.0,7.0,22.0
27.0,2.0,31.0,Welch Village,0.0,10.0,60.0
15.0,7.0,26.0,Wild Mountain Ski & Snowboard Area,0.0,9.0,26.0
20.0,2.0,8.0,Buena Vista Ski Area,0.0,6.0,17.0
,,,Coffee Mill Ski & Snowboard Resort,,,
,,,Elm Creek Winter Recreation Area,,,
10.0,4.0,6.0,Hidden Valley Ski Area,0.0,7.0,15.0
10.0,3.0,3.0,Snow Creek,0.0,6.0,12.0
15.0,5.0,18.0,Berkshire East,0.0,6.0,100.0
15.0,3.0,4.0,Blue Hills Ski Area,0.0,4.0,16.0
15.0,4.0,9.0,Bousquet Ski Area,0.0,4.0,22.0
16.0,5.0,6.0,Bradford Ski Area,0.0,10.0,15.0
26.5,8.0,29.0,Jiminy Peak,0.0,9.0,45.0
30.0,5.0,7.0,Nashoba Valley,0.0,10.0,17.0
22.0,9.0,14.0,Ski Butternut,0.0,10.0,22.0
36.0,3.0,7.0,Ski Ward,0.0,4.0,9.0
37.5,7.0,19.0,Wachusett Mountain Ski Area,0.0,8.0,27.0
,,,Otis Ridge Ski Area,,,
,,,Ski Blandford,0.0,,29.0
15.0,4.0,14.0,Alpine Valley Ski Area,0.0,14.0,25.0
25.0,4.0,14.0,Big Powderhorn Mountain,0.0,10.0,45.0
17.0,6.0,17.0,Bittersweet Ski Area,0.0,11.0,20.0
25.0,7.0,27.0,Boyne Mountain Resort,0.0,10.0,65.0
40.0,5.0,25.0,Caberfae Peaks,0.0,5.0,30.0
35.0,4.0,9.0,Cannonsburg,0.0,10.0,22.0
42.0,8.0,44.0,"Crystal Mountain, MI",0.0,8.0,59.0
34.0,3.0,8.0,Marquette Mountain,0.0,4.0,32.0
20.0,2.0,12.0,Mont Ripley,0.0,4.0,24.0
20.0,2.0,,Mount Bohemia,0.0,2.0,105.0
15.0,10.0,18.0,Mount Holly,0.0,13.0,20.0
14.0,8.0,19.0,Mt. Brighton,0.0,12.0,25.0
24.0,8.0,40.0,Nubs Nob Ski Area,0.0,10.0,53.0
24.0,9.0,14.0,Pine Knob Ski Resort,0.0,13.0,17.0
30.0,3.0,12.0,Pine Mountain,0.0,4.0,35.0
42.0,4.0,25.0,Schuss Mountain at Shanty Creek,0.0,7.0,42.0
42.0,9.0,16.0,Ski Brule,0.0,11.0,17.0
25.0,5.0,10.0,Snow Snake Mountain Ski Area,0.0,6.0,12.0
38.0,8.0,41.0,Snowriver Mountain Resort,0.0,13.0,71.0
36.0,5.0,10.0,Swiss Valley,0.0,7.0,12.0
38.0,8.0,44.0,The Highlands,0.0,8.0,54.0
9.0,3.0,4.0,The Homestead,0.0,5.0,15.0
21.5,4.0,8.0,Timber Ridge,0.0,10.0,20.0
26.0,4.0,18.0,Treetops Resort,0.0,4.0,27.0
,,,Mt. Holiday Ski Area,,,
,,,Mulligan's Hollow Ski Bowl,,,
,,,Norway Mountain,,,
,,0.0,Apple Mountain,0.0,,12.0
38.0,38.0,234.0,Big Sky,0.0,39.0,317.0
23.0,4.0,15.0,Blacktail Mountain Ski Area,2.0,4.0,27.0
32.0,11.0,105.0,Bridger Bowl,1.0,11.0,105.0
16.0,4.0,18.0,Discovery Ski Area,1.0,8.0,74.0
